### this data was extracted from peeringdb 
#clli	city	state	country
 \tTORO	Toronto	On	CA
ALBYNY	Albany	NY	US
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	AS	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Hilversum	NH	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
AMSTNL	Amsterdam	NULL	NL
ASBNVA	Ashburn	VA	US
ASBNVA	Ashburn	VA	US
ATLNGA	Atlanta	GA	US
ATLNGA	Atlanta	GA	US
ATLNGA	Atlanta	GA	US
ATLNGA	Atlanta	GA	US
ATLNGA	Atlanta	GA	US
BLASHO	Cincinnati 	OH	US
BLASHO	Cincinnati 	OH	US
BLASOH	Cincinnati 	OH	US
BLLVNE	Bellevue	NE	US
BOITID	Boise	ID	US
BRLNGE	Berlin	DE	DE
BRWDNY	Brentwood	NY	US
BSTNMA	Boston	MA	US
BUCHRO	Bucharest	NULL	RO
BUCHRO	Bucharest	NULL	RO
BUCHRO	Bucharest	NULL	RO
BUCHRO	Bucharest	NULL	RO
CALGAR	Calgary	AB	CA
CALGAR	Calgary	AB	CA
CDFLIA	Cedar Falls	IA	US
CHCGIL	Chicago	IL	US
CHCGIL	Chicago	IL	US
CLEVOH	Cleveland	OH	US
CLMBOH	Columbus	OH	US
CLMCOH	Columbus	OH	US
CNCNOH	Cincinnati 	OH	US
DLLSTX	Dallas	TX	US
DLLSTX	Dallas	TX	US
DLLSTX	Dallas	TX	US
DLLSTX	Dallas	TX	US
EDTNAB	Edmonton	AB	1
EGFKMN	East Grand Forks	MN	US
EQTKJP	Tokyo	NULL	JP
FLRNKY	Florence	KY	US
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
FRNKGE	Frankfurt	NULL	DE
GRCYNY	Garden City	NY	US
GRCYNY	Garden City	NY	US
HMTNOH	Hamilton	OH	US
HSTNJA	Houston	TX	US
iplswn	Indianapolis	IN	US
IPLVIN	Indianapolis	IN	US
IPLXIN	Indianapolis	IN	US
JCVLFL	Jacksonville	FL	US
JCVNFL	Jacksonville	FL	US
JRCYNJ	Jersey City	NJ	US
JRCYNJ	Jersey City	NJ	US
KNVLTN	Knoxville	TN	US
KSCYMO	Kansas City	MO	US
LBNNOH	Lebanon	OH	US
LENRNC	Lenoir	NC	US
LONDEN	Slough	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	LONDON	NULL	UK
LONDEN	Slough	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	GB
LONDEN	London	NULL	UK
LONDEN	West Drayton	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
LONDEN	London	NULL	UK
